TIME,COUNTRY,AGE,VALUE
2008,Finland,From 12 to 17 years,19031
2008,Finland,Less than 16 years,19275
2008,Finland,From 16 to 24 years,17517
2008,Finland,From 16 to 64 years,21279
2008,Finland,16 years or over,19985
2008,Finland,Less than 18 years,19251
2008,Finland,From 18 to 24 years,17070
2008,Finland,From 18 to 64 years,21396
2008,Finland,18 years or over,20033
2008,Finland,From 25 to 49 years,21595
2008,Finland,From 25 to 54 years,22040
2008,Finland,From 50 to 64 years,22753
2008,Finland,From 55 to 64 years,22227
2008,Finland,Less than 60 years,20785
2008,Finland,60 years or over,16455
2008,Finland,Less than 65 years,20819
2008,Finland,From 65 to 74 years,0
2008,Finland,65 years or over,15029
2008,Finland,Less than 75 years,20346
2008,Finland,75 years or over,13548
2008,Sweden,Total,20217
2008,Sweden,Less than 6 years,19541
2008,Sweden,From 6 to 11 years,19207
2008,Sweden,From 11 to 15 years,0
2008,Sweden,From 12 to 17 years,18562
2008,Sweden,Less than 16 years,19275
2008,Sweden,From 16 to 24 years,17147
2008,Sweden,From 16 to 64 years,21631
2008,Sweden,16 years or over,20436
2008,Sweden,Less than 18 years,19065
2008,Sweden,From 18 to 24 years,16654
2008,Sweden,From 18 to 64 years,21834
2008,Sweden,18 years or over,20514
2008,Sweden,From 25 to 49 years,21449
2008,Sweden,From 25 to 54 years,21754
2008,Sweden,From 50 to 64 years,25036
2008,Sweden,From 55 to 64 years,25555
2008,Sweden,Less than 60 years,20779
2008,Sweden,60 years or over,17935
2008,Sweden,Less than 65 years,21058
2008,Sweden,From 65 to 74 years,0
2008,Sweden,65 years or over,16097
2008,Sweden,Less than 75 years,20830
2008,Sweden,75 years or over,14110
2008,Iceland,Total,32206
2008,Iceland,Less than 6 years,28880
2008,Iceland,From 6 to 11 years,30601
2008,Iceland,From 11 to 15 years,0
2008,Iceland,From 12 to 17 years,31292
2008,Iceland,Less than 16 years,30177
2008,Iceland,From 16 to 24 years,32518
2008,Iceland,From 16 to 64 years,34200
2008,Iceland,16 years or over,33143
2008,Iceland,Less than 18 years,30425
2008,Iceland,From 18 to 24 years,32518
2008,Iceland,From 18 to 64 years,34338
2008,Iceland,18 years or over,33206
2008,Iceland,From 25 to 49 years,32926
2008,Iceland,From 25 to 54 years,33642
2008,Iceland,From 50 to 64 years,39140
2008,Iceland,From 55 to 64 years,40250
2008,Iceland,Less than 60 years,32691
2008,Iceland,60 years or over,29485
2008,Iceland,Less than 65 years,32926
2008,Iceland,From 65 to 74 years,0
2008,Iceland,65 years or over,26708
2008,Iceland,Less than 75 years,32837
2008,Iceland,75 years or over,24135
2008,Norway,Total,31798
2008,Norway,Less than 6 years,30981
2008,Norway,From 6 to 11 years,30641
2008,Norway,From 11 to 15 years,0
2008,Norway,From 12 to 17 years,30431
2008,Norway,Less than 16 years,30769
2008,Norway,From 16 to 24 years,25975
2008,Norway,From 16 to 64 years,33568
2008,Norway,16 years or over,32264
2008,Norway,Less than 18 years,30719
2008,Norway,From 18 to 24 years,23119
2008,Norway,From 18 to 64 years,33731
2008,Norway,18 years or over,32340
2008,Norway,From 25 to 49 years,33178
2008,Norway,From 25 to 54 years,33777
2008,Norway,From 50 to 64 years,38392
