"TIME","GEO","UNIT","ISCED11","ISCEDF13","SEX","Value"
"2013","Spain","Number","Tertiary education (levels 5-8)","Transport services","Total","35"
"2013","France","Number","Tertiary education (levels 5-8)","Total","Total","228,639"
"2013","France","Number","Tertiary education (levels 5-8)","Education","Total","3,265"
"2013","France","Number","Tertiary education (levels 5-8)","Arts and humanities","Total","40,008"
"2013","France","Number","Tertiary education (levels 5-8)","Social sciences, journalism and information","Total","28,148"
"2013","France","Number","Tertiary education (levels 5-8)","Business, administration and law","Total","58,574"
"2013","France","Number","Tertiary education (levels 5-8)","Natural sciences, mathematics and statistics","Total",":"
"2013","France","Number","Tertiary education (levels 5-8)","Biology","Total",":"
"2013","France","Number","Tertiary education (levels 5-8)","Biochemistry","Total",":"
"2013","France","Number","Tertiary education (levels 5-8)","Environment","Total",":"
"2013","France","Number","Tertiary education (levels 5-8)","Physical sciences","Total","0"
"2013","France","Number","Tertiary education (levels 5-8)","Mathematics and statistics","Total","5,803"
"2013","France","Number","Tertiary education (levels 5-8)","Information and Communication Technologies","Total","13,400"
"2013","France","Number","Tertiary education (levels 5-8)","Engineering, manufacturing and construction","Total",":"
"2013","France","Number","Tertiary education (levels 5-8)","Engineering and engineering trades","Total",":"
"2013","France","Number","Tertiary education (levels 5-8)","Manufacturing and processing","Total","1,964"
"2013","France","Number","Tertiary education (levels 5-8)","Architecture and construction","Total","6,185"
"2013","France","Number","Tertiary education (levels 5-8)","Agriculture, forestry, fisheries and veterinary","Total","674"
"2013","France","Number","Tertiary education (levels 5-8)","Health and welfare","Total","15,308"
"2013","France","Number","Tertiary education (levels 5-8)","Health","Total",":"
"2013","France","Number","Tertiary education (levels 5-8)","Dental studies","Total","366"
"2013","France","Number","Tertiary education (levels 5-8)","Medicine, therapy and rehabilitation","Total",":"
"2013","France","Number","Tertiary education (levels 5-8)","Welfare","Total",":"
"2013","France","Number","Tertiary education (levels 5-8)","Care of the elderly and of disabled adults","Total",":"
"2013","France","Number","Tertiary education (levels 5-8)","Child care and youth services","Total","0"
"2013","France","Number","Tertiary education (levels 5-8)","Social work and counselling","Total","428"
"2013","France","Number","Tertiary education (levels 5-8)","Services","Total",":"
"2013","France","Number","Tertiary education (levels 5-8)","Domestic services","Total","-1"
"2013","France","Number","Tertiary education (levels 5-8)","Hair and beauty services","Total","76"
"2013","France","Number","Tertiary education (levels 5-8)","Hotel, restaurants and catering","Total","678"
"2013","France","Number","Tertiary education (levels 5-8)","Sports","Total","813"
